"main_category","currency","goal","pledged",,,
"Art","USD","25000","1395",,,
"Music","USD","12000","13260",,,
"Film & Video","USD","10000","1373.37",,,
"Music","USD","4000","8641.34",,,
"Film & Video","USD","10000","15663",,,
"Art","USD","3000","17",,,
"Music","USD","15000","17499.99",,,
"Photography","USD","15000","23907",,,
"Music","USD","10000","12656",,,
"Film & Video","USD","2500","0",,,
"Food","USD","40000","63401",,,
"Film & Video","USD","8000","9401",,,
"Games","USD","3000","8105",,,
"Art","USD","1200","90",,,
"Film & Video","USD","60000","61365.16",,,
"Art","USD","7500","3",,,
"Photography","USD","4000","4866.17",,,
"Film & Video","USD","11000","11055",,,
"Food","USD","13750","1",,,
"Publishing","USD","13500","0",,,
"Film & Video","USD","9500","9660",,,
"Film & Video","USD","60000","635",,,
"Games","USD","25000","37199",,,
"Film & Video","USD","250000","65",,,
"Art","USD","5000","587",,,
"Food","USD","15000","124998",,,
"Music","USD","850","485",,,
"Theater","USD","15000","15425",,,
"Technology","USD","87000","2030",,,
"Technology","USD","100000","141",,,
"Music","USD","4000","4795",,,
"Games","USD","13000","2453",,,
"Food","USD","25000","0",,,
"Fashion","USD","68000","0",,,
"Theater","USD","7500","8157.01",,,
"Film & Video","USD","29700","10410",,,
"Games","USD","50000","1410",,,
"Games","USD","13000","1811",,,
"Film & Video","USD","4000","4045",,,
"Music","USD","500","1540",,,
"Fashion","USD","500","754.82",,,
"Theater","USD","5000","110",,,
"Food","USD","3000","1027",,,
"Music","USD","4500","409",,,
"Comics","USD","4289","474",,,
"Theater","USD","2000","2075",,,
"Music","USD","15000","151",,,
"Music","USD","10000","10414",,,
"Film & Video","USD","1500","1932.99",,,
"Film & Video","USD","3000","3755",,,
"Film & Video","USD","2000","2252.99",,,
"Food","USD","5000","0",,,
"Film & Video","USD","500","756",,,
"Music","USD","200","274.05",,,
"Publishing","USD","1000","125",,,
"Design","USD","500","156",,,
"Food","USD","20000","47273",,,
"Film & Video","USD","5000","50",,,
"Fashion","USD","5400","5858",,,
"Fashion","USD","1750","1805",,,
"Music","USD","1000","1455",,,
"Games","USD","19500","20269",,,
"Food","USD","100","0",,,
"Music","USD","10000","10",,,
"Music","USD","1000","472",,,
"Music","USD","6325","10",,,
"Film & Video","USD","20000","270",,,
"Publishing","USD","25000","0",,,
"Design","USD","125000","3012",,,
"Dance","USD","3400","0",,,
"Games","USD","2000","14794",,,
"Food","USD","20000","0",,,
"Photography","USD","3200","568",,,
"Games","USD","200","306.72",,,
"Technology","USD","250000","90771",,,
"Art","USD","650","0",,,
"Art","USD","800","1062.57",,,
"Music","USD","10000","4006",,,
"Publishing","USD","1400","2535",,,
"Technology","USD","15000","25",,,
"Games","USD","25000","65",,,
"Music","USD","3000","260",,,
"Art","USD","650","2354.5",,,
